Date,Hours,Project,Billable,Description,Activity
2026-03-03,1.0,Henderson Residence,No,Description 0,Activity 0
2026-03-10,1.5,Lakeview Kitchen,Yes,Description 1,Activity 1
2026-03-17,2.0,Unknown Project XYZ,Yes,Description 2,Activity 2
2026-03-24,2.5,,Yes,Description 3,Activity 3
2026-03-03,3.0,Henderson Residence,Yes,Description 4,Activity 4
2026-03-10,1.0,Lakeview Kitchen,No,Description 5,Activity 5
2026-03-17,1.5,Unknown Project XYZ,Yes,Description 6,Activity 6
2026-03-24,2.0,,Yes,Description 7,Activity 7
2026-03-03,2.5,Henderson Residence,Yes,Description 8,Activity 8
2026-03-10,3.0,Lakeview Kitchen,Yes,Description 9,Activity 9
2026-03-17,1.0,Unknown Project XYZ,No,Description 10,Activity 10
2026-03-24,1.5,,Yes,Description 11,Activity 11
2026-03-03,2.0,Henderson Residence,Yes,Description 12,Activity 12
2026-03-10,2.5,Lakeview Kitchen,Yes,Description 13,Activity 13
2026-03-17,3.0,Unknown Project XYZ,Yes,Description 14,Activity 14
2026-03-24,1.0,,No,Description 15,Activity 15
2026-03-03,1.5,Henderson Residence,Yes,Description 16,Activity 16
2026-03-10,2.0,Lakeview Kitchen,Yes,Description 17,Activity 17
2026-03-17,2.5,Unknown Project XYZ,Yes,Description 18,Activity 18
2026-03-24,3.0,,Yes,Description 19,Activity 19
2026-03-03,1.0,Henderson Residence,No,Description 20,Activity 20
2026-03-10,1.5,Lakeview Kitchen,Yes,Description 21,Activity 21
2026-03-17,2.0,Unknown Project XYZ,Yes,Description 22,Activity 22
2026-03-24,2.5,,Yes,Description 23,Activity 23
